Time,Altitude,Altitude_BMP390,Temperature_BMP390,Acceleration_X_BNO085,Acceleration_Y_BNO085,Acceleration_Z_BNO085,Magnetic_X_BNO085,Magnetic_Y_BNO085,Magnetic_Z_BNO085,Gyro_X_BNO085,Gyro_Y_BNO085,Gyro_Z_BNO085,Quaternion_W_BNO085,Quaternion_X_BNO085,Quaternion_Y_BNO085,Quaternion_Z_BNO085,Acceleration_X_ICM20649,Acceleration_Y_ICM20649,Acceleration_Z_ICM20649,Gyro_X_ICM20649,Gyro_Y_ICM20649,Gyro_Z_ICM20649
9391.223391,-2.028344167,235.8698486,21.13691631,-0.5703125,-0.0859375,78.64453125,-3.5625,-14.0625,-48.125,-0.044921875,0.0078125,0.359375,0.264160156,0.04901123,0.032958984,-0.962646484,-1.838746875,-19.27811177,124.268643,-0.003730475,-0.068214397,0.7905942035
9391.256725,7.405893755,239.2245811,21.14146117,-1.22265625,-1.234375,78.640625,-4,-13.375,-46.125,-0.044921875,0.0078125,0.359375,0.280029297,0.049743652,0.032714844,-0.958129883,-3.56257207,-15.18881533,117.6031855,0.01332312443,-0.068747322,1.075176141
9391.290058,10.30004157,240.2501554,21.14600602,-0.6484375,-0.8515625,78.640625,-4.25,-12.625,-48.125,-0.08984375,0.037109375,0.9609375,0.303222656,0.050842285,0.033081055,-0.95098877,0.4405331055,-1.915361328,133.9507945,-0.220364478,-0.172934155,0.9661929835
9391.323391,10.64768205,239.1310862,21.14146117,-1.875,-1.88671875,78.640625,-4.25,-12.625,-48.125,-0.220703125,0.2265625,0.931640625,0.303222656,0.050842285,0.033081055,-0.95098877,3.687070557,-1.19710083,150.9783567,-0.294174587,-0.273124051,0.9368821097
9391.356725,11.59950532,239.1310862,21.13691631,-1.4140625,-1.46484375,78.640625,-3.1875,-10.1875,-47.375,-0.220703125,0.2265625,0.931640625,0.325195313,0.054321289,0.037536621,-0.943359375,1.216254443,-5.056553906,154.4355839,-0.452719768,-0.344003073,0.873197575
9391.390058,18.14910591,241.9274509,21.14146117,-1.4921875,-1.234375,78.64453125,-3.1875,-10.1875,-47.375,-0.341796875,0.416015625,0.859375,0.346313477,0.061096191,0.046630859,-0.934936523,2.777273926,-0.804451758,151.9743446,-0.552643201,-0.434866781,0.814042903
9391.423391,21.8261097,242.393909,21.14600602,-1.14453125,-0.7734375,78.64453125,-2.8125,-9.8125,-47.8125,-0.443359375,0.62890625,0.8359375,0.346313477,0.061096191,0.046630859,-0.934936523,0.08619126,-1.436520996,155.3549573,-0.725310894,-0.467108742,0.8164410649
9391.456724,27.07397989,244.5387497,21.15055087,-0.45703125,-0.16015625,78.64453125,-0.9375,-8.375,-48.25,-0.443359375,0.62890625,0.8359375,0.365234375,0.071533203,0.059875488,-0.926208496,-1.915361328,-1.034295117,155.9487193,-0.835626364,-0.508410428,0.745562043
9391.490058,35.23105441,247.3365887,21.14600602,0.26953125,0.18359375,78.64453125,-0.125,-6.5625,-48.625,-0.482421875,0.78515625,0.744140625,0.382751465,0.085632324,0.076416016,-0.916687012,-1.39821377,-0.469263525,159.5112914,-0.927022998,-0.511075053,0.6920030828
9391.523391,44.27394661,250.8815727,21.14600602,1.3046875,0.640625,78.64453125,-0.125,-6.5625,-48.625,-0.50390625,0.884765625,0.689453125,0.382751465,0.085632324,0.076416016,-0.916687012,-0.737414111,-1.034295117,158.295037,-0.956333871,-0.502814716,0.6850750581
9391.556724,55.60042936,254.0544002,21.13691631,2.453125,1.33203125,78.640625,2.5,-5.5,-49.125,-0.50390625,0.884765625,0.689453125,0.397888184,0.101745605,0.094482422,-0.906860352,-2.777273926,0.842758984,157.6821213,-0.973653933,-0.479898942,0.7178499442
9391.590058,68.17844446,258.254698,21.14600602,3.71875,2.13671875,78.640625,2.5,-5.5,-49.125,-0.458984375,0.908203125,0.732421875,0.413024902,0.119262695,0.112609863,-0.895812988,-3.035847705,4.434061475,154.5983896,-0.956333871,-0.446324668,0.8020520905
9391.623391,85.3941875,263.858264,21.14600602,5.51953125,2.98046875,78.64453125,6.25,-3.375,-50.4375,-0.3515625,0.845703125,0.916015625,0.413024902,0.119262695,0.112609863,-0.895812988,-3.869029883,5.305550879,156.5424813,-0.850281801,-0.330147023,0.988842295
9391.656724,101.8858872,269.4647786,21.14146117,7.2421875,3.4765625,78.64453125,7.75,-2.3125,-50.4375,-0.3515625,0.845703125,0.916015625,0.430419922,0.136962891,0.127563477,-0.882995605,-4.941632227,6.01423457,157.9215415,-0.757552855,-0.233687602,1.130866801
9391.690058,120.2503923,274.9813821,21.14600602,8.69921875,3.78515625,78.64453125,7.75,-2.3125,-50.4375,-0.189453125,0.681640625,1.193359375,0.452941895,0.154174805,0.137084961,-0.867370605,-6.004657764,11.03248125,164.4912309,-0.564900476,-0.100189896,1.511375235
9391.723391,140.0933621,281.1552171,21.14600602,10.3828125,3.70703125,78.64453125,10.75,-2.625,-50.875,-0.025390625,0.435546875,1.830078125,0.452941895,0.154174805,0.137084961,-0.867370605,-3.916913916,8.714894043,154.6558504,-0.399160808,-0.047963248,2.017121038
9391.756724,156.0393115,285.1772355,21.13691631,11.83984375,3.70703125,78.64453125,12.25,-0.5,-50.9375,-0.025390625,0.435546875,1.830078125,0.485534668,0.16986084,0.138183594,-0.846374512,-1.177947217,6.971915234,153.0373701,-0.216634003,0.06741501,2.450655507
9391.790057,167.9764125,287.9856852,21.14600602,12.375,2.7109375,78.640625,12.25,-0.5,-50.9375,0.08984375,0.1171875,2.662109375,0.534362793,0.183227539,0.12890625,-0.815002441,-1.742978809,11.94227788,156.9830145,0.039702911,0.02851148627,3.13200009
9391.823391,175.2791734,289.2981322,21.13691631,12.4921875,-0.31640625,78.640625,13.375,-2.3125,-50.1875,0.03125,-0.234375,3.18359375,0.534362793,0.183227539,0.12890625,-0.815002441,-0.526724365,8.829815723,150.7102061,0.3352098106,-0.057022973,3.222064412
9391.856724,173.2504355,286.9566018,21.14146117,11.265625,-1.54296875,78.64453125,14.125,-1.9375,-50.1875,0.03125,-0.234375,3.18359375,0.59564209,0.190917969,0.111328125,-0.772216797,-1.19710083,7.460332373,151.4284666,0.499883629,-0.219831553,3.063252768
9391.890057,169.0137699,285.2715893,21.14146117,10,-1.88671875,78.640625,14.125,-1.9375,-50.1875,-0.19140625,-0.53515625,3.013671875,0.655212402,0.188476563,0.091674805,-0.725769043,1.551442676,8.025363965,149.2449547,0.6554977218,-0.355194497,2.777604981
9391.923391,165.869961,284.5227804,21.13691631,7.89453125,-1.54296875,78.640625,15.25,-1.25,-50.625,-0.4609375,-0.7265625,2.4921875,0.655212402,0.188476563,0.091674805,-0.725769043,-3.332728711,2.643198633,148.4979638,0.743963268,-0.551310889,2.347534524
9391.956724,168.1743773,286.2061562,21.14146117,5.2890625,-0.16015625,78.64453125,13.375,-0.875,-50.5625,-0.4609375,-0.7265625,2.4921875,0.704772949,0.175598145,0.074707031,-0.683288574,-1.015141504,0.7565677246,148.3734653,0.7250444313,-0.63284841,2.019519201
9391.990057,175.4675682,289.2965486,21.13691631,2.9140625,1.75390625,78.640625,13.375,-0.875,-50.5625,-0.625,-0.751953125,1.947265625,0.74407959,0.155822754,0.061645508,-0.646728516,-5.774814404,0.277727393,148.3638885,0.6618928216,-0.677880571,1.737068963
9392.023391,183.6940788,291.9187597,21.14146117,0.65625,3.78515625,78.640625,13,2,-50.625,-0.619140625,-0.603515625,1.560546875,0.74407959,0.155822754,0.061645508,-0.646728516,-2.997540479,-3.122038965,144.4086673,0.5060122658,-0.621656986,1.524698359
9392.056724,194.0174021,295.3873759,21.13691631,-1.52734375,6.1953125,78.640625,13,2,-50.625,-0.619140625,-0.603515625,1.560546875,0.773254395,0.135986328,0.053100586,-0.617004395,-11.69328091,-5.765237598,130.0721878,0.2939081249,-0.506545191,1.618759618
